GEO_ID,NAME,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
id,Geographic Area Name,Total,Total!!Not Hispanic or Latino,Total!!Not Hispanic or Latino!!White alone,Total!!Not Hispanic or Latino!!Black or African American alone,Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Not Hispanic or Latino!!Asian alone,Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Not Hispanic or Latino!!Some Other Race alone,Total!!Not Hispanic or Latino!!Two or More Races,Total!!Hispanic or Latino,Total!!Hispanic or Latino!!White alone,Total!!Hispanic or Latino!!Black or African American alone,Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Hispanic or Latino!!Asian alone,Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Hispanic or Latino!!Some Other Race alone,Total!!Hispanic or Latino!!Two or More Races
1400000US48201410100,"Census Tract 4101, Harris County, Texas",3793,3084,1275,1403,13,300,1,8,84,709,459,31,1,6,0,180,32
1400000US48427950106,"Census Tract 9501.06, Starr County, Texas",3407,44,40,0,4,0,0,0,0,3363,3301,0,7,0,0,50,5
1400000US48491020504,"Census Tract 205.04, Williamson County, Texas",8362,5137,3653,874,26,367,5,25,187,3225,1719,47,48,6,1,1267,137
1400000US48453001813,"Census Tract 18.13, Travis County, Texas",5853,1732,917,592,18,127,2,13,63,4121,2427,41,103,1,1,1392,156
1400000US48121020203,"Census Tract 202.03, Denton County, Texas",4847,4074,3788,143,36,20,1,1,85,773,437,3,4,2,0,305,22
1400000US48167725900,"Census Tract 7259, Galveston County, Texas",2214,1749,1428,154,8,103,0,4,52,465,329,4,2,3,0,101,26
1400000US48141004201,"Census Tract 42.01, El Paso County, Texas",6397,349,163,163,8,4,0,2,9,6048,5026,40,38,6,0,788,150
1400000US48355005407,"Census Tract 54.07, Nueces County, Texas",2207,884,709,96,0,53,0,0,26,1323,1176,13,2,1,0,106,25
1400000US48113008603,"Census Tract 86.03, Dallas County, Texas",1237,787,23,745,4,0,1,1,13,450,234,11,3,0,1,189,12
1400000US48049950800,"Census Tract 9508, Brown County, Texas",2813,1760,1551,144,12,9,0,1,43,1053,605,13,4,2,0,397,32
1400000US48053960500,"Census Tract 9605, Burnet County, Texas",6104,3778,3609,55,29,20,0,10,55,2326,1355,20,36,1,1,831,82
1400000US48439113403,"Census Tract 1134.03, Tarrant County, Texas",2497,2051,1859,88,11,23,2,14,54,446,255,11,3,1,0,146,30
1400000US48201510700,"Census Tract 5107, Harris County, Texas",3511,2791,2252,136,12,312,0,9,70,720,477,4,6,1,1,194,37
1400000US48169950100,"Census Tract 9501, Garza County, Texas",6461,3415,2962,392,25,8,3,1,24,3046,2386,28,11,0,0,570,51
1400000US48491021000,"Census Tract 210, Williamson County, Texas",3425,1252,580,588,14,20,3,12,35,2173,1294,40,32,2,0,703,102
1400000US48201312400,"Census Tract 3124, Harris County, Texas",2208,1926,82,1803,0,27,0,1,13,282,100,8,3,0,0,166,5
1400000US48113013611,"Census Tract 136.11, Dallas County, Texas",2605,2483,2228,76,7,139,1,10,22,122,83,0,1,1,0,25,12
1400000US48085032013,"Census Tract 320.13, Collin County, Texas",5721,3591,1655,743,19,987,3,20,164,2130,1039,26,18,2,0,937,108
1400000US48159950200,"Census Tract 9502, Franklin County, Texas",2763,2326,1903,322,31,13,0,6,51,437,170,6,0,0,2,239,20
1400000US48439110704,"Census Tract 1107.04, Tarrant County, Texas",4535,3367,2927,268,28,68,7,2,67,1168,560,17,23,1,0,500,67
1400000US48339692500,"Census Tract 6925, Montgomery County, Texas",8331,6380,6017,192,38,29,4,5,95,1951,1179,2,30,3,3,661,73
1400000US48113017201,"Census Tract 172.01, Dallas County, Texas",5548,2784,1369,1274,42,25,1,2,71,2764,1331,38,82,0,0,1199,114
1400000US48215020726,"Census Tract 207.26, Hidalgo County, Texas",6289,779,669,28,2,68,0,4,8,5510,4494,16,19,1,4,902,74
1400000US48453001908,"Census Tract 19.08, Travis County, Texas",8403,6552,5603,154,22,590,7,26,150,1851,920,21,35,8,0,763,104
1400000US48141004314,"Census Tract 43.14, El Paso County, Texas",5459,666,518,68,5,37,7,2,29,4793,4096,29,23,9,0,536,100
1400000US48029121501,"Census Tract 1215.01, Bexar County, Texas",7831,5118,3227,1297,23,307,35,22,207,2713,1867,86,24,27,6,555,148
1400000US48121021636,"Census Tract 216.36, Denton County, Texas",6507,5096,2677,1615,25,572,3,59,145,1411,717,21,7,1,3,573,89
1400000US48439113810,"Census Tract 1138.10, Tarrant County, Texas",4538,3422,2927,186,16,210,9,5,69,1116,766,16,13,4,0,287,30
1400000US48201320900,"Census Tract 3209, Harris County, Texas",7394,1907,954,788,12,104,8,5,36,5487,3462,38,49,3,0,1709,226
1400000US48355001100,"Census Tract 11, Nueces County, Texas",1969,448,227,177,17,11,0,0,16,1521,1207,11,16,1,1,241,44
1400000US48441010300,"Census Tract 103, Taylor County, Texas",2318,1486,1013,394,5,26,3,2,43,832,471,24,3,0,1,253,80
1400000US48201520700,"Census Tract 5207, Harris County, Texas",3724,2232,1898,134,6,145,1,8,40,1492,942,3,27,5,0,457,58
1400000US48209010806,"Census Tract 108.06, Hays County, Texas",3655,3315,3202,27,10,35,3,3,35,340,224,0,6,2,0,99,9
1400000US48121020202,"Census Tract 202.02, Denton County, Texas",9228,7847,7596,77,66,26,4,3,75,1381,827,10,17,5,1,476,45
1400000US48309003000,"Census Tract 30, McLennan County, Texas",3653,3036,2118,796,8,43,3,4,64,617,283,27,6,0,0,275,26
1400000US48167725700,"Census Tract 7257, Galveston County, Texas",2214,1741,1485,132,5,90,2,0,27,473,362,5,1,4,0,83,18
1400000US48201412000,"Census Tract 4120, Harris County, Texas",2892,2713,2391,44,9,207,0,6,56,179,153,1,0,1,0,16,8
1400000US48201334003,"Census Tract 3340.03, Harris County, Texas",5976,3153,1795,853,5,414,3,18,65,2823,1562,24,23,5,5,1095,109
1400000US48027022404,"Census Tract 224.04, Bell County, Texas",7400,5794,2438,2562,31,322,67,18,356,1606,839,160,11,11,8,389,188
1400000US48375013300,"Census Tract 133, Potter County, Texas",4928,4560,4079,152,21,247,1,0,60,368,227,0,3,5,0,110,23
1400000US48339692100,"Census Tract 6921, Montgomery County, Texas",10690,8314,7062,608,50,434,2,17,141,2376,1459,26,43,6,0,703,139
1400000US48029121507,"Census Tract 1215.07, Bexar County, Texas",5036,2993,1825,920,14,134,6,2,92,2043,1419,31,25,2,4,449,113
1400000US48321730400,"Census Tract 7304, Matagorda County, Texas",2821,2089,812,1206,8,35,0,1,27,732,366,14,3,2,0,298,49
1400000US48453001740,"Census Tract 17.40, Travis County, Texas",4114,3177,2677,116,9,281,4,16,74,937,670,17,10,4,0,186,50
1400000US48113016616,"Census Tract 166.16, Dallas County, Texas",5567,4255,1196,2901,12,44,3,17,82,1312,569,49,3,3,0,598,90
1400000US48331950402,"Census Tract 9504.02, Milam County, Texas",3736,2527,1711,743,12,21,0,2,38,1209,724,13,3,0,0,446,23
1400000US48401950502,"Census Tract 9505.02, Rusk County, Texas",4481,3833,2575,1218,7,5,0,2,26,648,298,2,2,0,0,324,22
1400000US48113000900,"Census Tract 9, Dallas County, Texas",4743,1603,1282,184,15,85,0,3,34,3140,1581,16,17,4,9,1423,90
1400000US48479000800,"Census Tract 8, Webb County, Texas",2681,68,65,0,3,0,0,0,0,2613,2323,10,2,1,0,236,41
1400000US48085031314,"Census Tract 313.14, Collin County, Texas",2291,2085,1905,86,13,41,0,13,27,206,131,0,7,0,0,50,18
1400000US48085031409,"Census Tract 314.09, Collin County, Texas",9572,8609,5883,944,37,1505,3,18,219,963,634,21,16,13,0,234,45
1400000US48085030508,"Census Tract 305.08, Collin County, Texas",6130,5623,4799,209,35,443,1,10,126,507,372,9,3,2,0,80,41
1400000US48315950300,"Census Tract 9503, Marion County, Texas",3037,2906,2571,210,34,16,1,6,68,131,82,3,5,0,0,34,7
1400000US48201411700,"Census Tract 4117, Harris County, Texas",2774,2306,1635,245,5,373,1,1,46,468,308,4,5,1,2,114,34
1400000US48085031715,"Census Tract 317.15, Collin County, Texas",2544,2362,1929,115,4,274,0,5,35,182,105,7,0,1,1,56,12
1400000US48499950302,"Census Tract 9503.02, Wood County, Texas",5248,4762,4569,96,31,11,6,0,49,486,196,0,22,0,0,260,8
1400000US48201333201,"Census Tract 3332.01, Harris County, Texas",4998,1355,296,927,5,94,0,16,17,3643,1972,45,37,1,2,1419,167
1400000US48217961100,"Census Tract 9611, Hill County, Texas",3701,3068,2850,139,19,11,14,7,28,633,391,11,9,6,0,187,29
1400000US48453001811,"Census Tract 18.11, Travis County, Texas",3546,1111,534,514,7,26,0,2,28,2435,1505,29,67,2,0,732,100
1400000US48439102601,"Census Tract 1026.01, Tarrant County, Texas",3557,2181,1500,554,19,45,2,4,57,1376,862,6,4,6,1,428,69
1400000US48439104504,"Census Tract 1045.04, Tarrant County, Texas",3206,569,365,132,1,44,0,13,14,2637,1588,13,17,0,0,925,94
1400000US48167723501,"Census Tract 7235.01, Galveston County, Texas",1021,883,865,5,1,0,0,1,11,138,85,0,1,0,0,41,11
1400000US48029150400,"Census Tract 1504, Bexar County, Texas",3974,178,166,3,3,3,1,1,1,3796,2873,4,43,4,0,800,72
1400000US48441011000,"Census Tract 110, Taylor County, Texas",1209,739,527,169,4,11,0,0,28,470,284,8,2,0,0,155,21
1400000US48201233701,"Census Tract 2337.01, Harris County, Texas",5245,1306,582,689,5,7,1,7,15,3939,2643,11,14,1,0,1125,145
1400000US48099010400,"Census Tract 104, Coryell County, Texas",4083,3575,3389,76,13,25,0,3,69,508,186,13,16,0,2,238,53
1400000US48323950602,"Census Tract 9506.02, Maverick County, Texas",5394,93,65,3,12,11,0,2,0,5301,4790,11,5,9,0,418,68
1400000US48325000500,"Census Tract 5, Medina County, Texas",5129,2404,2214,30,15,104,0,0,41,2725,2226,25,27,2,0,370,75
1400000US48029191811,"Census Tract 1918.11, Bexar County, Texas",4339,3065,2585,120,7,270,4,4,75,1274,1033,9,7,8,0,155,62
1400000US48453002003,"Census Tract 20.03, Travis County, Texas",3653,1452,1263,104,11,27,0,5,42,2201,1179,22,63,8,0,836,93
1400000US48201253500,"Census Tract 2535, Harris County, Texas",8382,5069,2762,1943,9,217,7,17,114,3313,1834,61,19,7,0,1236,156
1400000US48039660200,"Census Tract 6602, Brazoria County, Texas",5638,4484,3737,338,19,309,0,13,68,1154,806,13,11,4,0,268,52
1400000US48085031806,"Census Tract 318.06, Collin County, Texas",1634,1522,743,103,6,630,0,11,29,112,70,2,0,0,0,24,16
1400000US48113004700,"Census Tract 47, Dallas County, Texas",3723,414,228,164,6,8,1,2,5,3309,1921,13,15,0,0,1235,125
1400000US48439101700,"Census Tract 1017, Tarrant County, Texas",2620,1976,388,1474,22,48,7,1,36,644,252,28,14,0,0,317,33
1400000US48439110805,"Census Tract 1108.05, Tarrant County, Texas",6058,4866,4091,473,32,143,2,8,117,1192,830,12,11,0,4,266,69
1400000US48325000300,"Census Tract 3, Medina County, Texas",8490,4232,3488,645,10,38,2,7,42,4258,3671,25,25,4,1,441,91
1400000US48121021611,"Census Tract 216.11, Denton County, Texas",4000,3131,2228,371,21,424,7,10,70,869,547,3,7,8,1,265,38
1400000US48259970302,"Census Tract 9703.02, Kendall County, Texas",4228,3650,3537,23,16,26,1,2,45,578,420,1,7,0,0,121,29
1400000US48021950100,"Census Tract 9501, Bastrop County, Texas",8608,5948,5388,358,31,48,4,10,109,2660,1119,25,34,5,0,1372,105
1400000US48113015305,"Census Tract 153.05, Dallas County, Texas",4297,2171,1586,375,30,132,0,3,45,2126,1392,25,30,5,0,585,89
1400000US48451001600,"Census Tract 16, Tom Green County, Texas",4769,3696,3633,2,14,16,3,0,28,1073,543,0,31,0,0,475,24
1400000US48415950300,"Census Tract 9503, Scurry County, Texas",5795,4235,4022,110,20,28,1,1,53,1560,1121,7,16,0,0,351,65
1400000US48141001202,"Census Tract 12.02, El Paso County, Texas",4846,1092,871,72,4,103,4,2,36,3754,3172,13,23,5,0,473,68
1400000US48281950400,"Census Tract 9504, Lampasas County, Texas",3674,2596,2409,68,11,20,0,8,80,1078,556,22,8,5,3,425,59
1400000US48299970300,"Census Tract 9703, Llano County, Texas",1837,1761,1732,2,12,5,0,0,10,76,63,0,1,0,0,10,2
1400000US48029171200,"Census Tract 1712, Bexar County, Texas",4384,130,77,36,5,2,0,9,1,4254,2803,28,53,1,5,1222,142
1400000US48481740700,"Census Tract 7407, Wharton County, Texas",1875,766,582,166,4,1,0,2,11,1109,704,5,5,0,0,367,28
1400000US48141000301,"Census Tract 3.01, El Paso County, Texas",6417,911,624,190,9,37,11,7,33,5506,4155,89,53,9,0,1015,185
